  X  Y  Depth
    1  144  -9999.000
    2  144  -9999.000
    3  144  -9999.000
    4  144  -9999.000
    5  144  -9999.000
    6  144  -9999.000
    7  144  -9999.000
    8  144  -9999.000
    9  144  -9999.000
   10  144  -9999.000
   11  144  -9999.000
   12  144  -9999.000
   13  144  -9999.000
   14  144  -9999.000
   15  144  -9999.000
   16  144  -9999.000
   17  144  -9999.000
   18  144  -9999.000
   19  144  -9999.000
   20  144  -9999.000
   21  144  -9999.000
   22  144  -9999.000
   23  144  -9999.000
   24  144  -9999.000
   25  144  -9999.000
   26  144  -9999.000
   27  144  -9999.000
   28  144  -9999.000
   29  144  -9999.000
   30  144  -9999.000
   31  144  -9999.000
   32  144  -9999.000
   33  144  -9999.000
   34  144  -9999.000
   35  144  -9999.000
   36  144  -9999.000
   37  144  -9999.000
   38  144  -9999.000
   39  144  -9999.000
   40  144  -9999.000
   41  144  -9999.000
   42  144  -9999.000
   43  144  -9999.000
   44  144  -9999.000
   45  144  -9999.000
   46  144  -9999.000
   47  144  -9999.000
   48  144  -9999.000
   49  144  -9999.000
   50  144  -9999.000
   51  144  -9999.000
   52  144  -9999.000
   53  144  -9999.000
   54  144  -9999.000
   55  144  -9999.000
   56  144  -9999.000
   57  144  -9999.000
   58  144  -9999.000
   59  144  -9999.000
   60  144  -9999.000
   61  144  -9999.000
   62  144  -9999.000
   63  144  -9999.000
   64  144  -9999.000
   65  144  -9999.000
   66  144  -9999.000
   67  144  -9999.000
   68  144  -9999.000
   69  144  -9999.000
   70  144  -9999.000
   71  144  -9999.000
   72  144  -9999.000
   73  144  -9999.000
   74  144  -9999.000
   75  144  -9999.000
   76  144  -9999.000
   77  144  -9999.000
   78  144  -9999.000
   79  144  -9999.000
   80  144  -9999.000
   81  144  -9999.000
   82  144  -9999.000
   83  144  -9999.000
   84  144  -9999.000
   85  144  -9999.000
   86  144  -9999.000
   87  144  -9999.000
   88  144  -9999.000
   89  144  -9999.000
   90  144  -9999.000
   91  144  -9999.000
