 年,月,日,时,降雨量,H,流量,HDam1,Dam1in,Dam1out,HDam2,Dam2in,Dam2out
 1995  ,    5  ,   12  ,   12  ,          0.000  ,          1.402  ,         962.806  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   13  ,          0.000  ,          1.336  ,         917.445  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   14  ,          0.000  ,          1.272  ,         873.450  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   15  ,          0.000  ,          1.212  ,         832.032  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   16  ,          0.000  ,          1.154  ,         791.983  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   17  ,          0.000  ,          1.099  ,         754.828  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   18  ,          0.000  ,          1.049  ,         719.896  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   19  ,          0.000  ,          1.001  ,         687.423  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   20  ,          0.000  ,          0.958  ,         657.659  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   21  ,          0.000  ,          0.917  ,         629.626  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   22  ,          0.000  ,          0.880  ,         603.825  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   23  ,          0.000  ,          0.843  ,         578.756  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   24  ,          0.000  ,          0.807  ,         554.302  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    1  ,          0.000  ,          0.774  ,         531.439  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    2  ,          0.000  ,          0.743  ,         510.094  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    3  ,          0.000  ,          0.713  ,         489.804  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    4  ,          0.000  ,          0.687  ,         471.962  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    5  ,          0.000  ,          0.661  ,         453.817  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    6  ,          0.000  ,          0.636  ,         436.759  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    7  ,          0.000  ,          0.613  ,         420.863  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    8  ,          0.000  ,          0.591  ,         405.836  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    9  ,          0.000  ,          0.571  ,         391.737  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   10  ,          0.000  ,          0.551  ,         378.612  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   11  ,          0.000  ,          0.533  ,         366.114  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   12  ,          0.000  ,          0.516  ,         354.459  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
