 年,月,日,时,Gross,Netto,Throughfall,LeafDrainage,Stemflow,StoreInterception
 1995  ,    5  ,   12  ,   18  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   19  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   20  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   21  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   22  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   23  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   12  ,   24  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,    1  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,    2  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,    3  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,    4  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,    5  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,    6  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,    7  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,    8  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,    9  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   10  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   11  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   12  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   13  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   14  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   15  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   16  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   17  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   18  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   19  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   20  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   21  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
 1995  ,    5  ,   13  ,   22  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000  ,         0.00000
